,Name,Brand,Key Ingredients,Benifits,Rating,No_of_Rating
0,Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,It helps improve mood and energy levels,Helps to relieve itchy scalp and severe headaches,4.4,916 Ratings
1,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
2,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
3,Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,Dr Willmar Schwabe India Pvt Ltd,Seneciobicolor (cineraria maritima),It is an alcohol-free homoeopathic formulation,4.6,1939 Ratings
4,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
5,SBL Arnica Montana Herbal Shampoo with TJC,SBL Pvt Ltd,"It helps manage dull, dry and coarse hair","It is a herbal shampoo that helps manage dull, dry and coarse hair",4.3,931 Ratings
6,Boericke and Tafel Arnica Shampoo,Dr Willmar Schwabe India Pvt Ltd,Arnica,Paraben free herbal formula that imparts a tonic influence on the scalp,4.3,331 Ratings
7,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
8,Dr. Reckeweg R78 Eye Care Drop,Dr Reckeweg & Co,Aconitum,Relieves eye pain and discomfort,4.5,158 Ratings
9,Hapdco Rheumacon Pain Relief Oil,HAPDCO,"Peppermint, Kapoor, Gandhapuro tail, Nilgiri Tail, Chah tail, Ganjani tail",Relieves chest congestion,4.4,245 Ratings
10,Fourrts Gum Forte Gel Homoeopathic Toothpaste,Fourrts India Laboratories Pvt Ltd,Plantago Q,Provide protection from germs and gingivitis,4.6,248 Ratings
11,SBL Jaborandi Hair Oil,SBL Pvt Ltd,Extract of Jaborandi herb,Helps in the reduction of hair fall,4.4,317 Ratings
12,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
13,SBL Cineraria Maritima 10% Eye Drop,SBL Pvt Ltd,Cineraria maritima,It can help improve eye health,4.5,339 Ratings
14,Bjain Guatteria Gaumeri Drop,Bjain Pharmaceuticals Pvt Ltd,Guatteria Gaumeri,Homeopathic formulation with lipid lowering properties,4.6,310 Ratings
15,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
16,Bakson's Homeopathy Y-Lax Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Phenolphthalein 1x,Bakson Y Lax tablets are effective homeopathic tablets for constipation that are indicated in constipation,4.5,844 Ratings
17,SBL Sarracenia Purpurea Dilution 1000 CH,SBL Pvt Ltd,It helps relieve throbbing headaches and pain throughout the body,Helps in relieving headaches and body pain,4.7,29 Ratings
18,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
19,Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,Dr Reckeweg & Co,Calcarea Phosphorica,Aids in relieving teething issues in infants,4.7,1109 Ratings
20,Dr. Reckeweg R41 Sexual Neurasthenia Drop,Dr Reckeweg & Co,"Acidum phosphoricum, Agnus castus, China, Conium, Damiana, Phosphorus, Sepia, Testis, Aqua, Ethanol",Helps relieve mental and physical exhaustion,4.1,1535 Ratings
21,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
22,Dr. Reckeweg R89 Hair Care Drop,Dr Reckeweg & Co,It helps enhance hair growth and strength,Helps prevent hair fall and baldness,4.3,1587 Ratings
23,Dr Willmar Schwabe India Thyroidinum Trituration Tablet 3X,Dr Willmar Schwabe India Pvt Ltd,Thyroidinum 3X,Improves your overall digestive health,4.6,405 Ratings
24,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
25,Bakson's Homeopathy Y-Lax Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Phenolphthalein 1x,Bakson Y Lax tablets are effective homeopathic tablets for constipation that are indicated in constipation,4.5,844 Ratings
26,SBL Stobal Cough Syrup,SBL Pvt Ltd,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,4.6,1623 Ratings
27,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
28,Dr. Reckeweg Berberis Vul Mother Tincture Q,Dr Reckeweg & Co,Berberis Vulgaris,"Beneficial in case of kidney stones, constipation, and diarrhoea",4.5,941 Ratings
29,Dr. Reckeweg R73 Joint Pain Drop,Dr Reckeweg & Co,"Acidum sulfuricum, Argentum, Arnica, Bryonia, Causticum Hahnemann, Ledum, Alcohol",Provides relief in joint pain,4.5,856 Ratings
30,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
31,SBL Nux Vomica Dilution 30 CH,SBL Pvt Ltd,Helps improve mood swings and anger,"Useful for irritability, nausea, and vomiting",4.6,2801 Ratings
32,Dr Willmar Schwabe India Damiaplant Drop,Dr Willmar Schwabe India Pvt Ltd,It helps increase energy levels and elevate mood,Acts as a sexual health supplement,4,802 Ratings
33,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
34,SBL Arnica Montana Hair Oil with Tjc,SBL Pvt Ltd,Arnica montana hair oil helps in reducing dandruff and the itching due to dandruff,Helps to control hair fall,4.3,721 Ratings
35,Dr. Reckeweg R13 Hemorrhoidal Drop,Dr Reckeweg & Co,"Acidum nitricum, Aesculus, Collinsonia canadensis, Hamamelis, Kalium carbonicum, Graphaites, Lycopodium, Nux vom, Paeonia officinalis, Sulfur, Alcohol","Provides relief for flatulence, backaches",4.4,813 Ratings
36,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
37,SBL Scalptone Tablet,SBL Pvt Ltd,Acidum fluoricum 3x,Helps to counter hair loss,4.2,446 Ratings
38,Bakson's Homeopathy Aller Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Bakson's Aller Aid Tablet helps relieve symptoms of allergies such as hay fever, fluent dry coryza,  thick discharge",Aller Aid Tablets provide relief from hay fever,4.4,707 Ratings
39,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
40,SBL Clearstone Drop,SBL Pvt Ltd,"Berberis vulgaris Q, Sarsaparilla Q, Ocimum canum Q, Solidago virgaurea Q, Pareira brava Q, Senecio aureus Q, Excipients, Alcohol",It is useful in case of kidney and ureter stones,4.5,1029 Ratings
41,SBL Tonicard Gold Drop Homeopathic Medicine,SBL Pvt Ltd,It is a cardiac tonic that provides natural cardio glycosides and thus tones up heart muscles,It is a cardiac tonic that tones up heart muscles,4.7,876 Ratings
42,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
43,Bakson's Homeopathy Aller Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Bakson's Aller Aid Tablet helps relieve symptoms of allergies such as hay fever, fluent dry coryza,  thick discharge",Aller Aid Tablets provide relief from hay fever,4.4,707 Ratings
44,SBL Berberis Vulgaris Mother Tincture Q,SBL Pvt Ltd,Effective for kidney stones and pains associated with it,Useful in case of renal calculi or kidney stones,4.6,1005 Ratings
45,Sunny Herbals Arnica Montana Hair Oil,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Arnica montana,Stimulates circulation,3.9,14 Ratings
46,Dr. Reckeweg R5 Stomach and Digestion Drop,Dr Reckeweg & Co,"Anacardium, Argentum nitricum, Arsenicum album, Belladona, Carbo vegetabilis, Chamomilla, Chelidonium, Lycopodium , Nux vom, Schrophularia nodosa, Alcohol",Helps relieve nausea and vomiting,4.5,785 Ratings
47,Bhargava Spondin Drop,Bhargava Phytolab,"Cuprum metallicium 6X, Ruta graveolens 3X, Dulcamera 3X, Conium maculatum 3X, Ledum palustre 2X, Hypericum perforatum 5X, Colocynthis vulgaris 3X",Useful in case of Cervical Spondylitis,4.6,1225 Ratings
48,Bakson's Homeopathy Throat Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Mercurius iodatus ruber (Merc.bin.iod) 6x, Belladona 3x, Kali muriaticum 3x, Baryta carbonica 6x, Ferrum phosphoricum 3x, Senega 3x and Ammonium muriaticum 3x.","Bakson Throat Aid tablets effectively manage sore throat, hoarseness and loss of voice",4.5,573 Ratings
49,Dr. Reckeweg R9 Cough Drop,Dr Reckeweg & Co,"Belladonna, Bryonia, Coccus cacti, Corallium rubrum, Cuprum aceticum, Drosera",Helps improve fits of coughing,4.6,534 Ratings
50,Dr. Reckeweg R25 Prostatitis Drop,Dr Reckeweg & Co,"Chimaphila umbellata, Clematis, Conium, Ferrum picrinicum, Pareira brava, Populus tremul, Pulsatilla, Sabal serrulatum, Ethanol, Aqua, Alcohol",Relieves frequent and painful urination,4.5,692 Ratings
51,SBL Arnica Montana Dilution 200 CH,SBL Pvt Ltd,The dilution can help reduce pain in the head,Reduces swelling and soreness in the injured area,4.6,2511 Ratings
52,Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,Dr Reckeweg & Co,"Acidum Phosphoricum, Arsenicum Album, Lycopodium, Natrium Sulfuricum, Phaseolus Nanus, Secale Cornutum, Uranium Nitricum, Ethanol, Aqua, Alcohol",Aids in the management of diabetes,4.5,640 Ratings
53,SBL Syzygium Jambolanum Mother Tincture Q,SBL Pvt Ltd,It helps regulate and monitor high blood sugar levels,Helps to manage blood sugar levels,4.6,1188 Ratings
54,SBL Bio-Combination 6 Tablet,SBL Pvt Ltd,Ferrum phosphoricum,Provides relief from respiratory ailments,4.7,756 Ratings
55,SBL Calcarea Fluorica Biochemic Tablet 6X,SBL Pvt Ltd,It is primarily used for the management of varicose veins and various skin conditions,It helps manage varicose veins and other skin disorders,4.5,1452 Ratings
56,Dr. Reckeweg R71 Sciatica Drop,Dr Reckeweg & Co,"Magnesium phosphoricum helps relieve nocturnal pain, ameliorated by warm applications and pressure",It is used to manage sciatica-related ailments,4.5,737 Ratings
57,Sunny Herbals Anti Wrinkle Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera,It reduces fine lines and wrinkles,4.5,44 Ratings
58,Sunny Herbals Hair Color 12 Sachets Dark Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
59,Bakson's Homeopathy Throat Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Mercurius iodatus ruber (Merc.bin.iod) 6x, Belladona 3x, Kali muriaticum 3x, Baryta carbonica 6x, Ferrum phosphoricum 3x, Senega 3x and Ammonium muriaticum 3x.","Bakson Throat Aid tablets effectively manage sore throat, hoarseness and loss of voice",4.5,573 Ratings
60,Sunny Herbals Hair Color Light Brown Sachet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Amla,Ensures a lasting light brown shade,4.6,22 Ratings
61,SBL Arsenicum Album Dilution 30 CH,SBL Pvt Ltd,"Active ingredient: Arsenicum album
Inactive ingredient: Organic sucrose",Helps in treating the increased temperature with marked periodicity,4.6,1434 Ratings
62,Dr. Reckeweg R7 Liver and Gallbladder Drop,Dr Reckeweg & Co,"Carduus marianus, Chelidonium, Cholesterinum, Colocynthis, Lycopodium, Nux vomica",Helps ease liver ailments and improves liver function,4.5,614 Ratings
63,Sunny Herbals Foot Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloevera,Medicated antiseptic foot cream to provide instant hydration,4.6,26 Ratings
64,Bakson's Homeopathy Calcarea Phosphorica Biochemic Tablet 6X,Bakson Drugs & Pharmaceuticals Pvt. ltd.,The remedy helps manage dentition and bone affection,Helps manage dentition and bone affection,4.5,53 Ratings
65,SBL Nux Vomica Dilution 200 CH,SBL Pvt Ltd,Helps improve mood swings and anger,"Useful for irritability, nausea, and vomiting",4.6,2798 Ratings
66,Dr. Reckeweg R85 High Blood Pressure Drop,Dr Reckeweg & Co,It dissolves the calcareous deposits in the arteries to lower blood pressure,It dissolves the calcareous deposits in the arteries to lower blood pressure,4.5,369 Ratings
67,SBL Prostonum Drop,SBL Pvt Ltd,It helps overcome problems of enlarged prostate and Benign Hypertrophy of Prostate (BHP),It helps in enlarged prostate and prevents mild to severe urinary disturbances in men,4.5,855 Ratings
68,Sunny Herbals Under Eye Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Revitalises the skin around the eyes: The cream contains essential oils, aloe vera, arnica, and cucumber distillates, which work in synergy to rejuvenate the skin around the eyes. This revitalization results in a visibly brighter and smoother appearance, making your eyes look more refreshed",Revitalises the skin around the eyes,4.2,58 Ratings
69,SBL Berberis Aquifolium Gel,SBL Pvt Ltd,Berberisaquifolium,Helps with eczema,4.3,981 Ratings
70,Dr. Reckeweg R11 Rheumatism Drop,Dr Reckeweg & Co,"Berberis, Calcium phosphoricum, Causticum Hahnemanni, Rhododendron, Rhus toxicodendron",Helps reduce joint pain,4.6,561 Ratings
71,Sunny Herbals Hair Color 12 Sachets Light Brown,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
72,Dr Willmar Schwabe Germany Cineraria Maritima Schwabe Eye Drop Alcohol Free,Dr Willmar Schwabe India Pvt Ltd,The eye drop is an alcohol-free formulation,Alcohol-free,4.5,238 Ratings
73,Dr. Reckeweg R42 Varicosis Drop,Dr Reckeweg & Co,"Aesculus, Calcium fluoratum, Carduus marianus, Hamamelis, Mezereum, Placenta, Pulsatella, Secale cornutum, Vipera berus, alcohol","Helps relieve venous stasis, varicosis and varicose ailments",4.4,577 Ratings
74,Sunny Herbals Hair Color 12 Sachets Burgundy,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with henna powder, this product imparts rich, natural colour to your hair without harsh chemicals","Promotes hair strength, shine, and scalp health",4.3,88 Ratings
75,SBL Chelidonium Majus Mother Tincture Q,SBL Pvt Ltd,"Helps in relieving pain and inflammation in the eyes, and nausea and vomiting","Useful in pneumonia, jaundice, gallstones, and other liver complaints",4.5,865 Ratings
76,SBL Kali Phosphoricum Biochemic Tablet 6X,SBL Pvt Ltd,This formulation helps reduce paralytic lameness in the back and extremities,"Relieves muscle weakness, anxiety, depression and chronic fatigue",4.6,1363 Ratings
77,Bakson's Sunny Arnica Hair Oil with Jaborandi,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Arnica, Amla, Brahmi, and Bhringraj",Best natural oil for hair growth and shiny hair,4.4,70 Ratings
78,SBL Jaborandi Mother Tincture Q,SBL Pvt Ltd,Helpful for hair fall and its associated conditions,Helps to reduce hair loss,4.4,731 Ratings
79,Dr. Reckeweg R65 Psoriasis Drop,Dr Reckeweg & Co,Berberis aquilfolium has skin revival and healing properties that help manage psoriasis,It helps manage skin conditions such as psoriasis and dryness,4.4,469 Ratings
80,Sunny Herbals Aloevera+Calendula Bathing Bar,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Aloe vera's moisturising properties help keep the skin hydrated and supple,Gently cleanses skin without stripping its natural oils,4.5,17 Ratings
81,ADEL 18 Glucorect Drop,Adel Pekana Germany,NA,Manages sugar in the urine and irregular cardiac action,4.5,260 Ratings
82,Dr. Reckeweg R49 Sinus Drop,Dr Reckeweg & Co,"Arsenicum album, Calcium carbonicum Hahnemanni, Cinnabaris, Kalium bichromicum, Pulsatilla",Improves lack of taste and smell,4.6,445 Ratings
83,Sunny Herbals Hair Removal Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Effortlessly removes unwanted hair without causing irritation or discomfort,Provides gentle hair removal experience,4.3,23 Ratings
84,Bakson's Homeopathy Gastro Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Robinia pseudoacacia 3x,Effective tablets for digestion help improve digestion and gut health ,4.5,216 Ratings
85,SBL Hydrastis Canadensis Mother Tincture Q,SBL Pvt Ltd,"Soothes the mucous membrane of the uterus, stomach, throat, etc.","Improves muscular power, digestion and reduces constipation",4.5,480 Ratings
86,Sunny Herbals Neem Tulsi Soap,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Neem and tulsi work together to cleanse deeply, removing impurities and excess oils",Helps to effectively get rid of impurities,4.3,54 Ratings
87,SBL Arnica Montana Dilution 30 CH,SBL Pvt Ltd,The dilution can help reduce pain in the head,Reduces swelling and soreness in the injured area,4.6,2511 Ratings
88,Bakson's Homeopathy Rheum Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Bakson's Rheum Aid Tablets are effective against joint pains, muscular weakness, and fatigue. Tones up the musculoskeletal system ","Rheum Aid Tablets are effective against joint pains, muscular weakness, and fatigue",4.6,196 Ratings
89,Sunny Herbals Lip Balm,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"Infused with almond oil and vitamin E, it deeply moisturises and nourishes lips, preventing dryness",Deeply moisturize dry and chapped lips,4.3,102 Ratings
90,Dr. Reckeweg R59 Weight Loss,Dr Reckeweg & Co,It supports weight management and aids in enhancing metabolism at the tissue level,These are homeopathic drops that help manage obesity,4.2,511 Ratings
91,SBL Stobal Cough Syrup,SBL Pvt Ltd,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,It is a highly efficacious remedy for acute catarrhal conditions of the respiratory tract,4.6,1623 Ratings
92,Sunny Herbals Hair Pack,Bakson Drugs & Pharmaceuticals Pvt. ltd.,Topical arnica oil application may clear sebum oil and other impurities on your scalp that can block hair follicles,Helps delay premature greying,3.7,17 Ratings
93,SBL Calcarea Phosphorica Biochemic Tablet 6X,SBL Pvt Ltd,The formulation mainly helps to accelerate the growth of teeth and bones,Faciliates aid in case of bone-related problems and dentition,4.6,1074 Ratings
94,SBL Liv T Tonic,SBL Pvt Ltd,It performs many essential functions like aiding digestion and detoxifying poisonous substances into non-poisonous ones,"It helps manage various liver conditions like jaundice, hepatitis and indigestion",4.5,821 Ratings
95,Sunny Herbals Boro Arnica Cream,Bakson Drugs & Pharmaceuticals Pvt. ltd.,"This product effectively promotes the healing of minor wounds, cuts, cold sores, and chapped hands and feet with its soothing and disinfecting properties",Helps heal minor cuts,4,34 Ratings
