ID,Name,Size,MRP,Sale Price,URL
1,Dr Willmar Schwabe India Berberis Aquifolium Mother Tincture Q,30 ml,₹220,₹185,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-aquifolium-mother-tincture-q-otc390797
2,Dr Willmar Schwabe Germany Cineraria Maritima Without Alcohol Eye Drop,10 ml,₹175,₹161,https://www.1mg.com/otc/dr-willmar-schwabe-germany-cineraria-maritima-without-alcohol-eye-drop-otc326131
3,SBL Arnica Montana Herbal Shampoo with TJC,200 ml,₹175,MRP₹170,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-tjc-otc329025
4,Boericke and Tafel Arnica Shampoo,250 ml,₹200,₹186,https://www.1mg.com/otc/boericke-and-tafel-arnica-shampoo-otc418583
5,Dr. Reckeweg R78 Eye Care Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r78-eye-care-drop-otc327376
6,Hapdco Rheumacon Pain Relief Oil,60 ml,₹175,₹165,https://www.1mg.com/otc/hapdco-rheumacon-pain-relief-oil-otc659823
7,Fourrts Gum Forte Gel Homoeopathic Toothpaste,100 gm,₹100,₹98.2,https://www.1mg.com/otc/fourrts-gum-forte-gel-homoeopathic-toothpaste-otc226835
8,SBL Jaborandi Hair Oil,200 ml,₹270,₹243,https://www.1mg.com/otc/sbl-jaborandi-hair-oil-otc329035
9,SBL Cineraria Maritima 10% Eye Drop,10 ml,₹135,₹127,https://www.1mg.com/otc/sbl-cineraria-maritima-10-eye-drop-otc329014
10,ADEL Diacard Gold Madaus Drop Homeopathic Medicine,25 ml,₹550,₹512,https://www.1mg.com/otc/adel-diacard-gold-madaus-drop-homeopathic-medicine-otc326050
11,Bjain Guatteria Gaumeri Drop,30 ml,₹365,₹318,https://www.1mg.com/otc/bjain-guatteria-gaumeri-drop-otc327159
12,Bakson's Homeopathy Y-Lax Tablet,200 tablets,₹500,₹356,https://www.1mg.com/otc/bakson-s-homeopathy-y-lax-tablet-otc648470
13,SBL Sarracenia Purpurea Dilution 1000 CH,30 ml,₹140,₹125,https://www.1mg.com/otc/sbl-sarracenia-purpurea-dilution-1000-ch-otc358168
14,Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,20 gm,₹200,₹174,https://www.1mg.com/otc/dr.-reckeweg-calcarea-phosphorica-biochemic-tablet-6x-otc325463
15,Dr. Reckeweg R41 Sexual Neurasthenia Drop,22 ml,₹285,₹246,https://www.1mg.com/otc/dr.-reckeweg-r41-sexual-neurasthenia-drop-otc327434
16,Dr. Reckeweg R89 Hair Care Drop,30 ml,₹330,₹320,https://www.1mg.com/otc/dr.-reckeweg-r89-hair-care-drop-otc326064
